suite,source,grid,dgp,n_train,method,metric,target_aggregation,n_seeds,seed_min,seed_max,mean,se,mean_se
income,merged_phase6,income,IC2,500,causal_drf,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.1422599327,0.006064147061,0.1423(0.0061)
income,merged_phase6,income,IC2,500,cwdb_dr,kernel_law_error,mean over two arms within seed,10,0,9,0.02202196919,0.001067570286,0.0220(0.0011)
income,merged_phase6,income,IC2,500,cwdb_dr,mean_quantile_rmse,single reported value within seed,10,0,9,0.0987232338,0.01728739057,0.0987(0.0173)
income,merged_phase6,income,IC2,500,cwdb_dr,reference_effect_rmse,single reported value within seed,10,0,9,0.01851822785,0.002745523028,0.0185(0.0027)
income,merged_phase6,income,IC2,500,cwdb_dr,reference_tcate_rmse,single reported value within seed,10,0,9,0.03869852919,0.004890588804,0.0387(0.0049)
income,merged_phase6,income,IC2,500,cwdb_dr,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.01148839658,0.002242663137,0.0115(0.0022)
income,merged_phase6,income,IC2,500,cwdb_dr,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.03598128129,0.003435493604,0.0360(0.0034)
income,merged_phase6,income,IC2,500,drf,kernel_law_error,mean over two arms within seed,10,0,9,0.09776267929,0.002324682039,0.0978(0.0023)
income,merged_phase6,income,IC2,500,drf,mean_quantile_rmse,single reported value within seed,10,0,9,0.2495060324,0.01272512119,0.2495(0.0127)
income,merged_phase6,income,IC2,500,drf,reference_effect_rmse,single reported value within seed,10,0,9,0.2015700439,0.0121137356,0.2016(0.0121)
income,merged_phase6,income,IC2,500,drf,reference_tcate_rmse,single reported value within seed,10,0,9,0.201596951,0.01210183042,0.2016(0.0121)
income,merged_phase6,income,IC2,500,drf,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.1520053267,0.006744209763,0.1520(0.0067)
income,merged_phase6,income,IC2,500,drf,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.152025389,0.006736476679,0.1520(0.0067)
income,merged_phase6,income,IC3,500,causal_drf,kernel_law_error,mean over two arms within seed,10,0,9,0.07732595466,0.001915683096,0.0773(0.0019)
income,merged_phase6,income,IC3,500,causal_drf,mean_quantile_rmse,single reported value within seed,10,0,9,0.3444080182,0.01129978819,0.3444(0.0113)
income,merged_phase6,income,IC3,500,causal_drf,reference_effect_rmse,single reported value within seed,10,0,9,0.266203446,0.01103969292,0.2662(0.0110)
income,merged_phase6,income,IC3,500,causal_drf,reference_tcate_rmse,single reported value within seed,10,0,9,0.266557146,0.0108976229,0.2666(0.0109)
income,merged_phase6,income,IC3,500,causal_drf,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.1949840628,0.006345430953,0.1950(0.0063)
income,merged_phase6,income,IC3,500,causal_drf,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.1953959428,0.006271241051,0.1954(0.0063)
income,merged_phase6,income,IC3,500,cwdb_dr,kernel_law_error,mean over two arms within seed,10,0,9,0.02509145519,0.0009521856406,0.0251(0.0010)
income,merged_phase6,income,IC3,500,cwdb_dr,mean_quantile_rmse,single reported value within seed,10,0,9,0.1414949864,0.007803318168,0.1415(0.0078)
income,merged_phase6,income,IC3,500,cwdb_dr,reference_effect_rmse,single reported value within seed,10,0,9,0.02849107075,0.006405308461,0.0285(0.0064)
income,merged_phase6,income,IC3,500,cwdb_dr,reference_tcate_rmse,single reported value within seed,10,0,9,0.06679044446,0.006611253657,0.0668(0.0066)
income,merged_phase6,income,IC3,500,cwdb_dr,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.02900371631,0.004570308981,0.0290(0.0046)
income,merged_phase6,income,IC3,500,cwdb_dr,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.05502136944,0.003333792057,0.0550(0.0033)
income,merged_phase6,income,IC3,500,drf,kernel_law_error,mean over two arms within seed,10,0,9,0.09584370153,0.002851210867,0.0958(0.0029)
income,merged_phase6,income,IC3,500,drf,mean_quantile_rmse,single reported value within seed,10,0,9,0.3688368321,0.01066914393,0.3688(0.0107)
income,merged_phase6,income,IC3,500,drf,reference_effect_rmse,single reported value within seed,10,0,9,0.2834268628,0.01008677164,0.2834(0.0101)
income,merged_phase6,income,IC3,500,drf,reference_tcate_rmse,single reported value within seed,10,0,9,0.2835510943,0.01006012035,0.2836(0.0101)
income,merged_phase6,income,IC3,500,drf,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.2082162513,0.005712280441,0.2082(0.0057)
income,merged_phase6,income,IC3,500,drf,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.208315181,0.005692790198,0.2083(0.0057)
income,merged_phase6,income,IC0,1000,causal_drf,kernel_law_error,mean over two arms within seed,10,0,9,0.04665739924,0.0009535584554,0.0467(0.0010)
