dgp,n_train,n_grid,n_particles,metric,target_id,functional,mean,mc_se,n_seeds,primary_mean,absolute_delta,relative_delta,paired_delta,paired_mc_se,n_pairs,evaluated
IC2,1000,25,5,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.012618970766846366,0.0036098878584996928,10,0.016977945565013662,0.004358974798167296,0.2567433604658155,0.004358974798167298,0.0031981702501327684,10,True
IC2,1000,25,10,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.016977945565013662,0.004234270954309259,10,0.016977945565013662,0.0,0.0,0.0,0.0,10,True
IC2,1000,25,25,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.016096921984787405,0.004103435111050298,10,0.016977945565013662,0.0008810235802262575,0.05189223730589506,0.0008810235802262575,0.002770667045927383,10,True
IC2,1000,25,5,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.012486435231494045,0.0019321671652595925,10,0.014243625584327702,0.0017571903528336569,0.12336678905454367,0.0017571903528336556,0.001483531691925552,10,True
IC2,1000,25,10,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.014243625584327702,0.0022492909434087558,10,0.014243625584327702,0.0,0.0,0.0,0.0,10,True
IC2,1000,25,25,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.012734015369748605,0.0017689393423600812,10,0.014243625584327702,0.0015096102145790973,0.10598496890006188,0.001509610214579095,0.0015848035300573481,10,True
IC2,1000,25,5,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.0030133630291507285,0.0009411809710261495,10,0.002880203680869198,0.00013315934828153067,0.04623261513274137,-0.00013315934828153075,0.0009818119541633095,10,True
IC2,1000,25,10,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.002880203680869198,0.0006226282949747771,10,0.002880203680869198,0.0,0.0,0.0,0.0,10,True
IC2,1000,25,25,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.0026147254690985387,0.0005439704572648193,10,0.002880203680869198,0.00026547821177065915,0.09217341590596892,0.0002654782117706589,0.0008688495759999976,10,True
IC2,1000,25,5,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.011289428813347466,0.002938018113528674,10,0.01769533647384401,0.006405907660496545,0.3620110682814821,0.006405907660496546,0.0028468282930932437,10,True
IC2,1000,25,10,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.01769533647384401,0.004040100550926442,10,0.01769533647384401,0.0,0.0,0.0,0.0,10,True
IC2,1000,25,25,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.013942322746134116,0.0036819835745022663,10,0.01769533647384401,0.0037530137277098953,0.21209055466435087,0.0037530137277098944,0.0024731363918704136,10,True
IC2,1000,25,5,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.03526796960709959,0.0030262801950776525,10,0.033441826328509276,0.0018261432785903128,0.05460656546241074,-0.00182614327859031,0.0033096805706071724,10,True
IC2,1000,25,10,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.033441826328509276,0.003618851829307364,10,0.033441826328509276,0.0,0.0,0.0,0.0,10,True
IC2,1000,25,25,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.03460063679649254,0.003231263285016948,10,0.033441826328509276,0.0011588104679832664,0.034651530589266184,-0.0011588104679832675,0.0023338858673107527,10,True
IC2,1000,25,5,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.023639158755604996,0.0021874319861913405,10,0.02453767031227635,0.000898511556671356,0.03661763913348469,0.0008985115566713569,0.0017711520120039937,10,True
IC2,1000,25,10,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.02453767031227635,0.002508551313797687,10,0.02453767031227635,0.0,0.0,0.0,0.0,10,True
IC2,1000,25,25,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.02506079829065992,0.002226991195992546,10,0.02453767031227635,0.0005231279783835668,0.021319382472990624,-0.0005231279783835654,0.0018181602220152756,10,True
IC2,1000,25,5,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.009286662404659751,0.0010277119159506935,10,0.009595727192467918,0.0003090647878081672,0.032208584259332096,0.00030906478780816685,0.002453556688165839,10,True
IC2,1000,25,10,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.009595727192467918,0.0015550347563230667,10,0.009595727192467918,0.0,0.0,0.0,0.0,10,True
IC2,1000,25,25,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.008072634212269175,0.0009177024585918038,10,0.009595727192467918,0.0015230929801987435,0.1587261652659615,0.0015230929801987418,0.0011764914113162024,10,True
IC2,1000,25,5,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.033727482471676784,0.0029462191265322247,10,0.034153828029044035,0.00042634555736725116,0.01248309726818006,0.00042634555736725257,0.0029065734347735964,10,True
IC2,1000,25,10,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.034153828029044035,0.0030079496541751288,10,0.034153828029044035,0.0,0.0,0.0,0.0,10,True
IC2,1000,25,25,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.03345564812876478,0.003231919831241857,10,0.034153828029044035,0.0006981799002792541,0.020442215135753734,0.0006981799002792572,0.0024615721104259015,10,True
IC3,1000,25,5,kernel_law_error,LAW-A-K,,0.01801951431351551,0.0005688801340916369,10,0.01878640647932004,0.0007668921658045315,0.04082165296746462,0.0007668921658045334,0.000458017347990473,10,True
