grid,dgp,metric,method,mean,standard_error,n,merged_checksum,git_revision
main,D2,arm_energy_risk,wdrft,0.03270039500288395,0.0006553687765082028,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,arm_energy_risk,causal_drf,0.07715099698583536,0.001416729511899003,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,tcate_functional_rmse,cwdb_v1,0.03432903737587485,0.0018752809458058364,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,tcate_functional_rmse,cwdb_v0,0.04216258191199642,0.002554353000272713,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,tcate_functional_rmse,wdrft,0.03220675635299954,0.0021007618177442044,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,tcate_functional_rmse,causal_drf,0.052223392033816284,0.0028163231973140396,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,tcate_functional_rmse,pta_s,0.024586500695382964,0.0016503778898046067,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,reference_tcate_rmse,cwdb_v1,0.03283328650665159,0.002362831553385763,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,reference_tcate_rmse,cwdb_v0,0.043097873255475,0.0022479155348565016,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,reference_tcate_rmse,wdrft,0.035009006180177694,0.002998170532739335,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
